shop_name,phone_number,category,subcategory,sub_subcategory,city,location
Abdullah Exhibition,03-773813,Vehicles & Transport , Agencies & Car Showrooms,,South Governorate,Sidon District
AGA Classic Cars,03-514335,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Al Haytham Expo,71-582907,Vehicles & Transport , Agencies & Car Showrooms,,South Governorate,Sidon District
Al Zarif Exhibition,03-404785,Vehicles & Transport , Agencies & Car Showrooms,,South Governorate,Sidon District
Al-Ghali Motors,03-710705,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Cola
Amer Tarad Exhibition,71-832227,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
AUTO EXPORT YASSINE,78-864468,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,El Mazraa
Auto Faisal,03-855536,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Aley District
Auto Halimeh,03-567514,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Aley District
Auto Najem,76-150828,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,El Mazraa
Bilal Al Ateeq Exhibition,03-135124,Vehicles & Transport , Car Rental,,South Governorate,Sidon District
Cars,03-484481,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Wata Al Msaytbeh
CHM,71-880884,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
General Institution For Trading Cars,03-272878,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Habib Saadeh,70-098444,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Borj Hammoud
Hyundai,03-239577,Vehicles & Transport , Car Rental,,Governorate of Akkar,Arka
Hyundai,03-239577,Vehicles & Transport , Car Rental,,North Governorate,Koura District
Hyundai,71-411181,Vehicles & Transport , Car Rental,,North Governorate,Koura District
Hyundai,03-239577,Vehicles & Transport , Car Rental,,North Governorate,City of Tripoli
Impex,01-615715,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Badaro
Itani Cars Company,01-801307,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Raoucheh
Kajak & Mat Showroom,70-461400,Vehicles & Transport , Agencies & Car Showrooms,,South Governorate,Sidon District
Kamar Eldine,71-848044,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Kanaan for all kinds of cars,03-806034,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,Miniyeh-Danniyeh District
Kia Company,05-950812,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Hazmieh
KIA Motors / Natco,01-318028,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Verdun
KIT CAR,03-484481,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Wata Al Msaytbeh
Lebanese Car Market,71-797323,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Maarad Al Wazzan,03-637707,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Raoucheh
Maarad Al Wazzan,01-860859,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Raoucheh
Melhem Car,79-110687,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Modern Car Exhibition,70-105777,Vehicles & Transport , Agencies & Car Showrooms,,South Governorate,Sidon District
Moto Pro,71-555355,Vehicles & Transport , Motorcycles & Bikes,,Beirut & Mount Lebanon,Corniche Al Mazraa
Motor Show,03-855155,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Raoucheh
Motor Youssef,03-425344,Vehicles & Transport , Agencies & Car Showrooms,,North Governorate,City of Tripoli
Mou3ayntak,71-050068,Services ," Translation, proofreading and completion of transactions",,North Governorate,City of Tripoli
Mouassasat Al shakifi,03-158504,Vehicles & Transport , Agencies & Car Showrooms,,Beirut & Mount Lebanon,Wata Al Msaytbeh
